seconds;microseconds;speed;groundsteering;
1584543049;345288;-2.80762;0.278903;
1584543049;445107;-9.09424;0.290888;
1584543049;545114;61.6455;-0;
1584543049;645613;33.8135;-0;
1584543049;747678;-5.7373;-0;
1584543049;844882;0.793457;-0.290888;
1584543049;945066;-20.2026;-0.290888;
1584543050;45019;-42.9688;-0;
1584543050;144796;-34.0576;-0;
1584543050;247337;-0.854492;-0.0659685;
1584543050;345046;-20.5078;-0.122953;
1584543050;444744;-24.8413;-0;
1584543050;544737;-36.8042;-0.0569756;
1584543050;645522;-2.13623;-0.134946;
1584543050;747416;-34.729;-0.116952;
1584543050;844637;-32.7759;-0.113951;
1584543050;944762;-37.3535;-0.14994;
1584543051;44568;-40.7715;-0.137947;
1584543051;144538;-43.396;-0;
1584543051;247572;-45.105;0.0120023;
1584543051;344522;-13.6719;0.00900175;
1584543051;444478;-5.61523;0.0209952;
1584543051;544658;-0.183105;0.0120023;
1584543051;645139;-0.732422;-0;
1584543051;746618;-0.305176;-0;
1584543051;844738;0.305176;0.0389898;
1584543051;944390;1.40381;0.0479916;
1584543052;44325;3.479;-0;
1584543052;144497;4.82178;0.0150029;
1584543052;246552;-1.46484;0.0120023;
1584543052;344293;4.08936;0.00300058;
1584543052;444449;3.05176;0.0329887;
1584543052;546880;6.28662;0.0599851;
1584543052;645069;8.05664;0.0569845;
1584543052;746717;13.1836;0.0569845;
1584543052;844283;17.5781;0.0869726;
1584543052;944160;6.89697;0.0539839;
1584543053;44435;15.9912;0.0269964;
1584543053;144320;26.001;0.0959743;
1584543053;246299;13.3057;0.107968;
1584543053;346708;25.0244;0.143957;
1584543053;447068;32.7759;0.146949;
1584543053;547377;47.9126;0.143957;
1584543053;645093;53.894;0.140956;
1584543053;746806;54.3823;0.0509833;
1584543053;844069;58.8989;-0;
1584543053;944242;26.9165;-0;
1584543054;44082;11.1694;-0;
1584543054;143935;0.305176;-0;
1584543054;246178;1.64795;-0;
1584543054;346971;1.2207;0.0150029;
1584543054;444177;5.92041;0.0749791;
1584543054;544381;-1.2207;0.0749791;
1584543054;644574;13.0615;0.0749791;
1584543054;745931;27.3438;0.0959743;
1584543054;844014;27.3438;0.125962;
1584543054;944038;27.771;0.125962;
1584543055;43836;40.6494;0.110968;
1584543055;144021;36.438;0.0929737;
1584543055;245971;32.4707;0.0929737;
1584543055;343830;28.8696;0.0749791;
1584543055;444023;19.165;0.0719785;
1584543055;544121;23.9868;0.0749791;
1584543055;644527;21.0571;0.0749791;
1584543055;746044;11.8408;0.0749791;
1584543055;843970;16.4185;0.0749791;
1584543055;944013;11.7188;0.0749791;
1584543056;44204;15.4419;0.0749791;
1584543056;143927;11.7188;0.0749791;
1584543056;246747;14.8926;0.0749791;
1584543056;344015;15.625;0.0749791;
1584543056;444101;13.9771;0.0749791;
1584543056;543580;11.1694;0.0689779;
1584543056;644395;7.26318;0.0659773;
1584543056;745816;12.2681;0.0659773;
1584543056;843687;7.50732;0.0599851;
1584543056;943993;10.6201;0.0569845;
1584543057;43724;8.48389;0.0479916;
1584543057;143800;6.16455;-0;
1584543057;245910;-3.96729;0.0209952;
1584543057;343574;0.488281;0.0749791;
1584543057;443623;11.4136;0.0959743;
1584543057;543598;13.1836;0.098966;
1584543057;644296;28.4424;0.098966;
1584543057;745423;27.71;0.0959743;
1584543057;843503;29.48;0.101967;
1584543057;943932;26.001;0.098966;
1584543058;43365;23.8037;0.0929737;
1584543058;143480;27.1606;0.0809714;
1584543058;245278;23.2544;0.0719785;
1584543058;343377;19.6533;0.0719785;
1584543058;443589;21.1792;0.0689779;
1584543058;543290;22.2778;0.0719785;
1584543058;643988;19.4092;0.0719785;
1584543058;745463;18.5547;-0;
1584543058;843376;4.15039;-0;
1584543058;943080;7.14111;-0;
1584543059;43247;2.74658;-0;
1584543059;143032;3.35693;-0;
1584543059;244950;3.41797;-0.038981;
1584543059;345665;4.82178;-0;
1584543059;443329;-8.30078;-0;
1584543059;543086;0.244141;-0;
1584543059;643803;1.2207;-0;
1584543059;744844;-1.95312;-0;
1584543059;842905;-5.18799;-0;
1584543059;943052;-3.479;-0;
1584543060;42880;-6.28662;-0;
1584543060;145438;-3.72314;-0;
1584543060;248492;-3.17383;-0;
1584543060;342991;-0.793457;-0;
1584543060;442866;-2.01416;-0;
1584543060;542938;-4.3335;-0;
1584543060;643439;2.92969;-0;
1584543060;744676;-1.09863;-0;
1584543060;842894;2.01416;-0;
1584543060;942715;2.01416;-0;
1584543061;42687;-3.90625;-0;
1584543061;142864;-0.305176;-0;
1584543061;244565;-5.92041;-0;
1584543061;342628;-1.77002;-0;
1584543061;442777;-1.09863;-0;
1584543061;542620;-9.09424;-0;
1584543061;643232;-8.05664;-0;
1584543061;748031;-1.70898;-0;
1584543061;845674;-2.80762;0.044991;
1584543061;942959;4.82178;0.0479916;
1584543062;42785;12.3901;0.0479916;
1584543062;142578;8.48389;0.0479916;
1584543062;244393;11.1694;0.0479916;
1584543062;342647;11.1694;0.0479916;
1584543062;442655;8.36182;0.0479916;
1584543062;542455;14.1602;0.0479916;
1584543062;643656;10.376;0.0479916;
1584543062;744510;10.376;0.0479916;
1584543062;842528;13.3057;0.0479916;
1584543062;942788;15.0757;0.0479916;
1584543063;42337;9.39941;0.0479916;
1584543063;142311;13.9771;0.0479916;
1584543063;244228;8.60596;0.0479916;
1584543063;342280;10.498;0.0479916;
1584543063;444966;7.38525;0.0539839;
1584543063;542609;12.8784;0.125962;
1584543063;643572;44.0063;0.164943;
1584543063;743820;49.1333;0.164943;
1584543063;842315;59.5093;0.140956;
1584543063;942374;58.2886;0.107968;
1584543064;42123;47.3633;0.110968;
1584543064;142373;41.748;0.0120023;
1584543064;247872;13.1836;0.0120023;
1584543064;342824;2.13623;0.0239958;
1584543064;442641;8.60596;0.0959743;
1584543064;542041;21.8506;0.164943;
1584543064;642726;58.5327;0.188939;
1584543064;744520;65.4297;0.221928;
1584543064;842173;63.2935;0.125962;
1584543064;941966;49.6216;0.0509833;
1584543065;44750;50.7812;0.0329887;
1584543065;142077;16.1133;0.143957;
1584543065;244031;34.1797;0.140956;
1584543065;341988;49.6826;0.137956;
1584543065;441871;50.2319;-0;
1584543065;542189;15.5029;-0;
1584543065;642679;1.70898;-0;
1584543065;743877;8.48389;-0;
1584543065;844985;4.57764;-0;
1584543065;941846;-0.366211;-0;
1584543066;41926;-0.793457;-0.0629768;
1584543066;141695;-17.4561;-0;
1584543066;244068;-20.3247;-0;
1584543066;341602;-8.11768;-0;
1584543066;441804;-2.80762;-0;
1584543066;541865;-2.01416;-0;
1584543066;642211;1.46484;-0;
1584543066;743639;-1.2207;-0;
1584543066;842542;-2.56348;-0;
1584543066;941501;-2.0752;-0;
1584543067;41447;-4.69971;-0;
1584543067;141721;-2.86865;-0;
1584543067;244400;-8.23975;-0;
1584543067;341495;-10.9863;-0;
1584543067;441557;-5.43213;-0;
1584543067;541389;-10.498;-0;
1584543067;641983;-6.7749;0.281904;
1584543067;743553;-1.28174;0.149949;
1584543067;841330;65.7959;-0;
1584543067;941331;63.2324;-0;
1584543068;41621;6.89697;-0;
1584543068;141309;4.69971;-0;
1584543068;243355;2.99072;-0;
1584543068;341397;0.183105;-0;
1584543068;441241;2.2583;-0;
1584543068;541204;-0.305176;-0.122953;
1584543068;641996;1.52588;-0;
1584543068;743252;-35.4614;-0;
1584543068;841240;-8.36182;-0;
1584543068;941299;-2.56348;-0;
1584543069;41168;-1.0376;-0;
1584543069;141141;-8.66699;-0;
1584543069;243343;-7.75146;-0;
1584543069;341081;-0.549316;-0;
1584543069;441086;-3.60107;-0;
1584543069;541261;-5.67627;-0;
1584543069;641687;-2.2583;-0;
1584543069;743007;-7.50732;-0;
1584543069;841361;-6.95801;-0;
1584543069;940919;-4.3335;-0;
1584543070;40889;-2.86865;-0;
1584543070;141235;-2.62451;0.140956;
1584543070;243170;2.01416;0.200933;
1584543070;341315;57.4341;-0;
1584543070;441522;55.2368;-0;
1584543070;540872;0;-0;
1584543070;642017;2.80762;-0;
1584543070;743346;-3.90625;-0;
1584543070;840901;-2.50244;-0;
1584543070;940860;6.28662;-0;
1584543071;41117;1.2207;-0;
1584543071;140805;-5.31006;-0;
1584543071;242778;14.2822;0.290888;
1584543071;340893;59.2041;0.290888;
1584543071;440638;67.0166;0.290888;
1584543071;540657;65.6738;0.245915;
1584543071;641676;56.2744;-0;
1584543071;742619;9.15527;-0;
1584543071;840614;4.15039;-0;
1584543071;940898;19.5923;0.269911;
1584543072;40513;60.2417;0.290888;
1584543072;140745;68.1763;0.212926;
1584543072;242667;68.1763;-0;
1584543072;340521;29.3579;-0;
1584543072;440555;-7.38525;-0;
1584543072;540746;1.34277;-0;
1584543072;641201;19.165;0.290888;
1584543072;742570;58.7158;0.290888;
1584543072;840530;66.04;0.26691;
1584543072;940703;28.5034;-0;
1584543073;44949;0.671387;-0;
1584543073;140804;11.7188;0.290888;
1584543073;242205;70.3125;0.248915;
1584543073;340375;65.1855;0.203933;
1584543073;440901;35.9497;-0;
1584543073;540495;0.0610352;-0;
1584543073;641089;0.793457;-0;
1584543073;742365;0.244141;-0;
1584543073;843377;-1.2207;-0;
1584543073;940148;-2.92969;0.0239958;
1584543074;40309;1.70898;0.0929737;
1584543074;140113;20.9961;-0;
1584543074;242066;5.24902;-0;
1584543074;340502;2.01416;-0;
1584543074;440061;5.12695;-0;
1584543074;540018;0.793457;-0;
1584543074;644448;3.41797;-0;
1584543074;741935;3.11279;-0;
1584543074;839962;2.01416;-0;
1584543074;940135;3.35693;-0;
1584543075;39928;3.90625;-0;
1584543075;139910;9.94873;-0;
1584543075;242102;3.11279;-0;
1584543075;339870;-0.732422;-0;
1584543075;439836;4.3335;-0;
1584543075;540012;3.23486;-0;
1584543075;640474;-2.31934;-0;
1584543075;741673;4.82178;0.0329887;
1584543075;840024;4.69971;0.0779797;
1584543075;939773;23.9258;0.083972;
1584543076;39998;25.1465;0.083972;
1584543076;142731;28.1982;0.083972;
1584543076;241903;29.1138;0.0749791;
1584543076;339695;27.1606;0.0749791;
1584543076;439814;31.4331;0.0749791;
1584543076;539684;26.7944;0.0749791;
1584543076;640541;29.1138;0.0749791;
1584543076;741993;29.9683;0.0749791;
1584543076;839778;21.5454;0.0749791;
1584543076;942156;23.9868;0.0749791;
1584543077;40420;23.2544;0.0779797;
1584543077;139853;22.7661;0.11396;
1584543077;241608;33.8745;0.11396;
1584543077;339989;35.4614;0.11396;
1584543077;439472;46.0815;0.110968;
1584543077;539452;40.5884;0.110968;
1584543077;640328;39.1846;0.083972;
1584543077;741874;35.8887;0.0869726;
1584543077;839599;37.3535;0.0869726;
1584543077;939811;36.8652;0.0869726;
1584543078;39708;37.5977;0.0869726;
1584543078;139316;36.9263;0.0869726;
1584543078;241788;37.1704;0.0869726;
1584543078;339468;38.0249;0.083972;
1584543078;440371;34.0576;0.0629856;
1584543078;539427;28.4424;0.0569845;
1584543078;639988;23.6206;-0;
1584543078;741496;4.45557;-0;
1584543078;839588;4.39453;-0.0329798;
1584543078;939193;-1.89209;-0.143948;
1584543079;39175;-20.874;-0;
1584543079;142309;-24.292;-0;
1584543079;241668;-24.292;-0;
1584543079;339379;-6.22559;-0;
1584543079;439392;0.671387;-0;
1584543079;539298;-10.498;-0.0269875;
1584543079;639819;-6.22559;-0.0299881;
1584543079;741593;-10.1318;-0.0509744;
1584543079;839032;-17.9443;-0.0749702;
1584543079;939092;-16.8457;-0.0779708;
1584543080;39315;-20.3247;-0.0779708;
1584543080;138939;-20.5688;-0.0899643;
1584543080;241197;-22.9492;-0.0959654;
1584543080;339235;-30.4565;-0.0959654;
1584543080;438859;-34.2407;-0.0959654;
1584543080;538833;-37.6587;-0.0809625;
1584543080;639627;-26.3062;-0.0269875;
1584543080;741215;-20.874;-0;
1584543080;838897;-8.66699;-0;
1584543080;939216;-9.21631;-0;
1584543081;38700;-5.49316;-0;
1584543081;138686;-3.96729;-0;
1584543081;241220;-3.90625;-0;
1584543081;338638;-4.5166;-0;
1584543081;438920;-4.69971;-0;
1584543081;538800;-1.64795;-0;
1584543081;639642;-3.05176;-0;
1584543081;740772;-1.89209;-0;
1584543081;839072;-1.0376;-0;
1584543081;938540;-1.40381;0.0209952;
1584543082;38508;-5.18799;0.149949;
1584543082;138732;-5.43213;0.158951;
1584543082;240800;52.1851;0.119961;
1584543082;338732;57.4951;0.0959743;
1584543082;438788;44.7388;0.029997;
1584543082;538471;43.2739;0.00300058;
1584543082;639371;6.5918;0.00300058;
1584543082;740704;0.549316;0.00300058;
1584543082;838394;1.64795;0.0629856;
