seconds;microseconds;speed;groundsteering;
1584543431;672757;-6.28662;-0;
1584543431;771131;-2.50244;-0;
1584543431;873811;-3.05176;-0;
1584543431;971127;-6.34766;-0;
1584543432;70893;-5.5542;-0;
1584543432;172891;-5.49316;-0;
1584543432;270765;-8.60596;-0.122953;
1584543432;370755;-26.3672;-0.137947;
1584543432;470834;-39.978;-0.134946;
1584543432;571962;-35.7666;-0.134946;
1584543432;672646;-33.7524;-0.134946;
1584543432;770821;-31.7993;-0.134946;
1584543432;870603;-32.3486;-0.134946;
1584543432;970579;-32.3486;-0.134946;
1584543433;71323;-34.2407;-0.134946;
1584543433;172656;-23.8647;-0.134946;
1584543433;270518;-33.5083;-0.134946;
1584543433;373834;-33.5693;-0.134946;
1584543433;470738;-32.8369;-0.140948;
1584543433;571210;-34.5459;-0.143948;
1584543433;672921;-36.6211;-0.143948;
1584543433;770467;-40.5884;-0.143948;
1584543433;870405;-39.7339;-0.125954;
1584543433;970832;-33.5083;-0.128954;
1584543434;70509;-32.4097;-0.116952;
1584543434;172926;-31.6772;-0;
1584543434;270599;-10.6812;-0;
1584543434;370366;-13.2446;-0;
1584543434;470425;-11.2915;-0;
1584543434;571450;-7.56836;-0;
1584543434;672949;-3.66211;-0;
1584543434;770296;-0.305176;-0;
1584543434;870436;-4.21143;-0;
1584543434;970285;-4.15039;-0;
1584543435;70265;-0.488281;-0;
1584543435;172841;-5.12695;-0;
1584543435;270334;-5.24902;-0;
1584543435;371168;-9.64355;-0;
1584543435;470624;-2.86865;-0;
1584543435;571124;-5.24902;-0;
1584543435;672738;1.34277;-0;
1584543435;770577;-5.92041;-0;
1584543435;870811;-4.39453;-0;
1584543435;970384;-4.57764;-0;
1584543436;70216;-5.18799;-0;
1584543436;172469;-2.13623;-0;
1584543436;273229;-12.146;-0;
1584543436;370572;-4.82178;-0;
1584543436;469980;-6.22559;-0;
1584543436;570538;0;-0;
1584543436;672341;-1.64795;-0;
1584543436;769875;-3.84521;0.0509833;
1584543436;869839;11.9629;-0;
1584543436;970150;-0.12207;-0;
1584543437;72932;4.57764;-0;
1584543437;176419;0.244141;-0;
1584543437;270720;-0.12207;-0;
1584543437;369886;-0.12207;-0;
1584543437;469742;0.793457;-0;
1584543437;571172;3.78418;-0;
1584543437;672132;6.46973;-0;
1584543437;769675;-6.83594;-0;
1584543437;870196;-1.58691;-0;
1584543437;973181;-8.17871;-0;
1584543438;69858;-3.96729;-0;
1584543438;171981;-2.44141;-0;
1584543438;269545;0.549316;-0;
1584543438;369554;0.12207;-0;
1584543438;469953;1.52588;-0;
1584543438;570172;5.00488;-0;
1584543438;671687;-2.80762;0.185939;
1584543438;772069;1.34277;-0;
1584543438;869712;62.9272;-0;
1584543438;969424;9.15527;-0;
1584543439;69594;2.68555;-0;
1584543439;171567;0.549316;-0;
1584543439;269449;2.50244;-0;
1584543439;369657;0.183105;-0;
1584543439;469454;2.74658;-0;
1584543439;572902;1.2207;-0.0209863;
1584543439;673161;-1.89209;-0.0959654;
1584543439;769260;-12.8174;-0.104958;
1584543439;869243;-30.9448;-0.104958;
1584543439;969379;-30.0293;-0.104958;
1584543440;69200;-29.7241;-0.104958;
1584543440;171386;-27.832;-0.104958;
1584543440;269523;-23.0713;-0.104958;
1584543440;369300;-27.832;-0.104958;
1584543440;469117;-26.7944;-0.104958;
1584543440;569951;-32.7759;-0.104958;
1584543440;671333;-25.3296;-0.113951;
1584543440;769245;-30.3955;-0.155942;
1584543440;869235;-37.7808;-0.170936;
1584543440;969032;-47.5464;-0.167935;
1584543441;69005;-44.1895;-0.167935;
1584543441;171290;-41.4429;-0.167935;
1584543441;269244;-47.3633;-0.167935;
1584543441;369019;-48.8281;-0.167935;
1584543441;469140;-47.7905;-0.167935;
1584543441;569632;-41.4429;-0.167935;
1584543441;671467;-43.0298;-0.167935;
1584543441;769416;-42.3584;-0;
1584543441;868930;-26.9775;-0;
1584543441;969041;-9.8877;-0;
1584543442;69271;-6.7749;-0;
1584543442;171312;-11.5967;-0.014994;
1584543442;268736;-3.17383;-0.0359804;
1584543442;369313;-6.7749;-0.0359804;
1584543442;469178;-12.0239;-0.014994;
1584543442;569417;-6.16455;-0.014994;
1584543442;671150;-12.5122;-0.014994;
1584543442;768678;-6.53076;-0.014994;
1584543442;868960;-7.32422;-0.00299171;
1584543442;969208;-1.64795;-0.00899288;
1584543443;68575;-3.90625;-0.053975;
1584543443;170727;-15.3198;-0.053975;
1584543443;271691;-21.9116;-0.053975;
1584543443;368626;-19.165;-0.053975;
1584543443;468522;-19.4702;-0.0359804;
1584543443;569604;-24.7803;-0;
1584543443;671081;-8.60596;-0;
1584543443;768527;-14.5874;-0;
1584543443;868673;-1.34277;-0;
1584543443;968423;-4.5166;-0;
1584543444;68564;-0.732422;-0;
1584543444;170756;-0.549316;-0;
1584543444;268572;-4.88281;-0;
1584543444;368650;-1.46484;-0;
1584543444;468630;-6.95801;-0;
1584543444;568997;-4.5166;-0;
1584543444;670392;-8.17871;0.119961;
1584543444;768476;8.23975;-0;
1584543444;868652;21.1182;-0;
1584543444;968194;1.70898;-0;
1584543445;68344;0.244141;-0;
1584543445;170349;4.94385;-0;
1584543445;268286;1.64795;0.149949;
1584543445;368391;15.1978;0.239922;
1584543445;468374;67.1387;0.224928;
1584543445;569043;74.4019;-0;
1584543445;670485;66.7114;-0;
1584543445;768591;-1.77002;-0.0449821;
1584543445;868237;-16.9067;-0.290888;
1584543445;968211;-16.9067;-0.290888;
1584543446;67994;-54.0771;-0.290888;
1584543446;170210;-58.4717;-0.22492;
1584543446;268794;-55.7251;-0.290888;
1584543446;368141;-63.2935;-0.290888;
1584543446;467981;-64.9414;-0.290888;
1584543446;568947;-70.1904;-0.197923;
1584543446;671098;-64.209;-0.155942;
1584543446;768020;-61.8896;-0.152941;
1584543446;868070;-64.5142;-0.152941;
1584543446;967869;-55.4199;-0.191931;
1584543447;68250;-53.2227;0.290888;
1584543447;169961;-47.4243;0.290888;
1584543447;267850;-10.1318;0.290888;
1584543447;367900;74.3408;-0;
1584543447;467926;57.373;-0;
1584543447;568525;5.43213;-0.0179858;
1584543447;669787;-7.26318;-0.230912;
1584543447;767870;-40.5884;-0.290888;
1584543447;867711;-58.96;-0;
1584543447;967678;-49.0723;-0;
1584543448;67864;-5.61523;-0;
1584543448;169564;-9.58252;-0.272902;
1584543448;267637;-29.7852;-0.272902;
1584543448;367788;-62.8052;-0.275894;
1584543448;467811;-57.6782;-0;
1584543448;568246;-50.2319;-0.00899288;
1584543448;669464;-15.9912;-0.18893;
1584543448;767515;-40.1001;-0.242905;
1584543448;867544;-63.4155;-0;
1584543448;972042;-39.6118;-0;
1584543449;68403;-8.05664;-0;
1584543449;169435;-5.92041;-0.200924;
1584543449;267783;-58.1055;-0;
1584543449;367416;-42.8467;-0;
1584543449;467860;-8.60596;-0.143948;
1584543449;568259;-14.5874;-0.206925;
1584543449;669110;-59.9976;-0.209925;
1584543449;767771;-59.5703;-0.14994;
1584543449;870313;-61.0962;-0.134946;
1584543449;967562;-59.7534;-0;
1584543450;67607;-31.1279;0.290888;
1584543450;169589;34.3628;0.290888;
1584543450;267308;81.4819;0.197932;
1584543450;367226;84.9609;-0;
1584543450;467477;58.2275;-0.14994;
1584543450;567943;-42.2974;-0.257908;
1584543450;672667;-72.6929;-0.2639;
1584543450;767582;-70.5566;-0;
1584543450;867303;-51.5137;0.290888;
1584543450;967512;35.0952;0.290888;
1584543451;67396;98.0225;0.290888;
1584543451;168862;86.3647;-0;
1584543451;267312;58.0444;-0;
