seconds;microseconds;left_x;right_x;groundsteering;
1584543179;620471;211;-1;-0.0299881;
1584543179;725058;211;-1;-0.0359804;
1584543179;822411;178;-1;-0.0179858;
1584543179;920320;224;-1;-0;
1584543180;19792;136;-1;-0;
1584543180;119522;220;-1;-0;
1584543180;221619;220;-1;-0;
1584543180;319490;183;-1;-0;
1584543180;419464;162;-1;-0;
1584543180;519659;135;-1;-0;
1584543180;620095;132;-1;-0;
1584543180;721331;124;-1;-0;
1584543180;819596;150;604;-0;
1584543180;919368;31;647;-0;
1584543181;19437;123;-1;0.00300058;
1584543181;119583;85;-1;0.0749791;
1584543181;221242;67;-1;0.098966;
1584543181;319523;3;504;0.0809714;
1584543181;419468;120;535;0.0629856;
1584543181;519362;8;574;0.0599851;
1584543181;620046;235;647;0.0509833;
1584543181;721338;185;-1;0.0239958;
1584543181;819233;247;466;0.0120023;
1584543181;919488;158;498;0.0120023;
1584543182;19537;254;526;0.00900175;
1584543182;119273;252;556;-0;
1584543182;221073;113;555;-0;
1584543182;319520;74;613;-0;
1584543182;419368;328;645;-0;
1584543182;519086;325;-1;-0;
1584543182;619932;288;-1;-0;
1584543182;720857;256;-1;-0;
1584543182;819054;251;384;-0;
1584543182;919198;387;322;-0;
1584543183;19088;338;400;-0;
1584543183;119045;322;410;0.00300058;
1584543183;221416;210;420;0.0479916;
1584543183;319207;225;434;0.0599851;
1584543183;419179;362;448;0.0599851;
1584543183;519505;362;469;0.0719785;
1584543183;619719;214;508;0.0749791;
1584543183;722047;300;412;0.0749791;
1584543183;819310;266;453;0.0749791;
1584543183;919395;252;496;0.0719785;
1584543184;19122;223;543;0.0629856;
1584543184;119065;336;586;0.0599851;
1584543184;220832;365;635;-0;
1584543184;319157;365;-1;-0.0269875;
1584543184;418936;400;-1;-0.173936;
1584543184;518724;365;-1;-0.173936;
1584543184;619549;544;-1;-0.200924;
1584543184;720568;416;-1;-0.290888;
1584543184;819010;545;-1;-0.290888;
1584543184;922048;425;-1;-0.290888;
1584543185;19029;383;-1;-0.290888;
1584543185;118610;359;-1;-0.290888;
1584543185;220245;6;-1;-0.290888;
1584543185;318812;4;-1;-0.278895;
1584543185;418665;274;-1;-0.143948;
1584543185;518764;240;-1;-0;
1584543185;619528;43;-1;-0;
1584543185;720703;217;-1;-0;
1584543185;819061;166;-1;-0;
1584543185;919185;143;-1;-0.0809625;
1584543186;18835;115;-1;-0.0809625;
1584543186;118430;44;-1;-0.164934;
1584543186;220685;492;-1;-0.0809625;
1584543186;318510;-1;-1;-0.0809625;
1584543186;418349;-1;-1;-0;
1584543186;618990;-1;-1;-0;
1584543186;720501;-1;-1;-0;
1584543186;818449;-1;-1;-0.167935;
1584543186;918228;396;-1;-0.18893;
1584543187;18510;-1;-1;-0.14994;
1584543187;120916;-1;-1;-0.122953;
1584543187;220739;194;627;-0.00599229;
1584543187;318413;81;561;0.0569845;
1584543187;418372;-1;556;0.212926;
1584543187;518136;-1;626;0.254917;
1584543187;619028;-1;-1;-0;
1584543187;720345;-1;-1;-0;
1584543187;818388;297;-1;-0;
1584543187;920668;280;-1;-0;
1584543188;21156;304;-1;-0.278895;
1584543188;118187;303;636;-0;
1584543188;220302;262;655;-0;
1584543188;318288;177;632;-0;
1584543188;418174;-1;614;-0;
1584543188;517917;229;672;-0;
1584543188;618744;242;-1;-0;
1584543188;720064;264;-1;-0;
1584543188;821004;167;-1;-0;
1584543188;920085;96;-1;-0;
1584543189;17878;252;-1;-0.119952;
1584543189;117852;227;-1;-0.113951;
1584543189;220056;152;-1;-0.0599762;
1584543189;318229;257;-1;-0.0509744;
1584543189;417775;199;-1;-0.0419816;
1584543189;518133;106;-1;-0.0299881;
1584543189;618813;256;-1;-0.0299881;
1584543189;725021;180;-1;-0.0299881;
1584543189;818041;131;-1;-0.0329798;
1584543189;918400;14;-1;-0.0329798;
1584543190;18678;239;-1;-0.125954;
1584543190;117855;221;-1;-0.176937;
1584543190;220400;117;-1;-0.191931;
1584543190;317692;270;-1;-0.2639;
1584543190;417817;201;-1;-0.290888;
1584543190;517775;376;-1;-0.290888;
1584543190;618199;258;-1;-0.275894;
1584543190;719964;121;-1;-0.173936;
1584543190;817690;355;-1;-0.101958;
1584543190;917447;230;-1;-0.137947;
1584543191;17802;130;-1;-0.140948;
1584543191;117637;-1;-1;-0.0359804;
1584543191;219853;-1;-1;-0;
